email,phonenumbers,address,name,yearborn,Number_of_kids,Categorical_Value,Annual_Income,Number_of_Speeding_Tickets
rachel00@davis.com,124-580-1357,"91237 Phillips Place Suite 041
Sheilaborough, NE 50393",Dennis Evans,1951-07-15,3,Rent,28336,14
courtney23@riddle.com,+1-674-792-4996,"096 Fernandez Junction Apt. 318
South Tony, ME 70209",Joseph Ray,1924-07-20,1,Rent,61025,10
johnsondustin@hotmail.com,001-374-734-6568x033,"8465 Brett Garden Apt. 774
Hickmanchester, NM 29310",Tracy Taylor,1931-04-14,0,Own,20579,2
moorerachel@yahoo.com,001-348-503-0255,"USNV Mitchell
FPO AE 58411",Tammie Franklin,2004-02-11,2,Rent,71121,8
jacksonpaul@hall.com,(757)035-7146x1405,"719 Calvin Crescent
Thomasbury, AR 65189",Adam Rogers,1969-04-14,1,Own,63866,1
kinglouis@hotmail.com,(427)055-6433,"PSC 7797, Box 8463
APO AP 24856",Zachary Davis,1982-09-02,1,Own,15343,0
williamslaurie@lewis.info,957-702-8948,"PSC 1678, Box 8978
APO AE 33920",Anita Horton,1942-11-07,1,Rent,15653,10
whitney13@yahoo.com,(828)458-1611,"595 Hannah Via
Amandachester, ID 04682",Sarah King,2017-06-24,4,Own,88727,5
matthew07@yahoo.com,446-787-1118,"Unit 5507 Box 5613
DPO AA 48176",Thomas Rodriguez,1953-06-13,1,Own,18903,8
csmith@gmail.com,001-795-744-0034,"58555 John Way Apt. 957
New Kirk, WI 09865",Kimberly Simon,1985-09-10,2,Rent,29490,13
dickersonmichelle@chase.com,001-562-435-6552x08999,"33836 Derek Forge
Buchananborough, TN 52308",Jeffery Nguyen,1962-12-17,2,Rent,95614,5
ncox@gomez-walker.org,(843)326-9734x32542,"84235 Michael Prairie
North Joshua, OK 30311",Kelly Gonzalez,1910-08-25,0,Rent,26512,1
ashley68@hotmail.com,001-132-703-7824x81545,"52394 Hill Canyon
Millertown, AZ 99608",Mark Richardson,1972-04-16,1,Rent,33987,7
pmartin@gonzalez-mitchell.net,001-078-775-7722x5014,"6004 Smith Estate
Cookestad, DE 21725",Patrick Holland,1989-04-09,4,Rent,35026,8
james39@roberts.com,+1-696-842-1905x2638,"9058 Jessica Rest Apt. 777
West Kimberlystad, TX 28862",Kimberly Stone,1930-06-05,4,Rent,76164,8
vbush@greene.com,812-820-8963,"10444 Tanya Rue Apt. 256
New Debbie, OR 70218",Steven Medina,2000-04-11,2,Own,82674,5
millerlarry@gmail.com,001-871-455-9880x7121,"782 Brian Mountains
Jennifertown, WA 71543",Donna Martin,1984-05-08,0,Rent,20681,5
scott59@gmail.com,945-473-1426x1055,"553 Barry Islands Suite 554
Cliffordfurt, DC 71957",Mallory Parsons MD,2006-07-15,2,Rent,85234,11
barbererin@hotmail.com,+1-575-628-0973x55711,"370 Tyler Ford
South Dominique, MI 11466",Penny Hebert,1992-03-18,0,Rent,56833,11
beckymiller@collins.org,001-913-831-6129,"66239 Caroline Harbors Apt. 467
Lake Jason, MD 53774",Todd Clarke,1907-12-12,3,Own,25642,5
angelarussell@gardner.biz,+1-445-524-0994,"7891 James Locks Apt. 390
West Gina, NY 30477",Teresa Castillo,1917-04-28,3,Own,98871,6
alvarezalfred@gmail.com,1389534654,"950 Erin Avenue Suite 164
Lake Norman, TN 83860",Daniel Ellis,1924-04-08,3,Rent,80872,0
frostsylvia@yahoo.com,7039793961,"2843 Garcia Inlet Apt. 148
East Andrewhaven, NV 08720",Mercedes Hoffman,1927-09-12,0,Rent,70963,10
tinaturner@dunlap-randall.info,(064)993-4824x243,"2789 Robin Path
Bookerberg, AK 30116",Chelsea Baker,1960-03-30,4,Rent,32911,9
ztaylor@hotmail.com,+1-999-513-5401x288,"9622 Calvin Summit Suite 975
East Richardton, ME 16837",Paige Reed,1922-01-29,2,Own,70937,4
antoniolivingston@hotmail.com,(946)463-9285x34227,"217 Carter Place Apt. 988
Masonland, AK 81683",Scott Blackburn,1999-09-05,0,Own,35691,9
laura72@davis.com,648.882.4653,"PSC 6167, Box 0526
APO AE 28053",Christina Waters,2018-09-02,1,Rent,21126,4
jeanette48@gmail.com,(112)006-5764x68055,"965 Jones Mills
Port Kylemouth, OH 09867",Mitchell Knapp,1950-12-07,4,Rent,68092,4
lindsey45@gmail.com,+1-558-778-1160x7780,"07654 May Prairie Apt. 360
Shannonland, NY 14720",Charles Jones,2006-05-16,4,Rent,92456,4
proctorryan@yahoo.com,478.808.9158x871,"424 Joseph Vista Apt. 419
Lopezstad, DE 55561",Joshua Davis,1962-07-31,1,Own,95511,6
renee25@cummings.com,813.101.8534x953,"9326 Osborn Streets
West Stacyberg, CA 17216",William Alvarado,1999-12-22,2,Own,9202,11
robertmunoz@ferrell.com,990-859-3469x9811,"22357 Emily Neck Suite 572
Longfort, WA 33145",Christine Taylor,2008-06-07,2,Rent,91399,13
johnhughes@kennedy.org,+1-754-048-3316x5238,"0978 Michael Manors Suite 173
Port Hollytown, MO 85586",Edward Valdez,1915-03-14,1,Rent,25998,4
antoniowilliams@green.net,050.573.5438x31270,"3809 Alvarez Cove Suite 810
Vincentburgh, MI 22244",Brittany Brown,1925-03-12,0,Own,73497,9
millerwesley@hotmail.com,880-481-7367x35206,"31884 Long Light Apt. 781
Wangfort, OR 11239",Krystal Walker,1918-08-10,3,Rent,1534,1
marierodgers@gmail.com,+1-524-841-5341,"4837 Ramirez Burgs
Lindseytown, NC 05399",Teresa Dyer,1964-01-06,0,Rent,47982,2
davidtaylor@yahoo.com,+1-760-526-5161x1837,"740 Kathleen Curve
Thomastown, MO 95430",Walter Gray,1929-05-19,0,Own,6056,2
egarrison@smith.com,001-170-012-0280x689,"39999 Mindy Springs Apt. 346
Barnesfurt, WY 99759",Timothy Walton,1962-09-24,3,Rent,24125,9
teresahull@hotmail.com,(505)836-2676,"4498 Alan Centers
West Audreyland, MA 10787",Jillian Silva,1993-11-15,1,Own,5166,0
mrodriguez@koch.com,636.776.0643x056,"PSC 4074, Box 6419
APO AE 71527",Tiffany Johnston,1937-09-19,3,Own,48840,4
mahoneycraig@gomez.com,(271)215-5018,"450 Gary Camp
Joshuashire, SC 52670",Brett Flores,1976-09-30,1,Own,45976,6
iwilliams@rogers.com,(244)122-2861x5369,"USS Sanders
FPO AA 49717",Troy Perry,1954-12-01,3,Own,94954,9
brent63@jordan.com,001-372-483-9434x80930,"0347 French Underpass Suite 211
Jeremytown, LA 30520",Michael Thomas,1954-11-29,2,Own,46812,5
boonemark@ellis.com,(824)807-1700x353,"493 Dylan Trail
South Michael, OK 16714",Larry Lawrence,1986-10-21,1,Rent,36728,10
gonzalezvictoria@garcia.com,(587)448-8607,"6311 Dean Union Apt. 236
West Zachary, LA 59219",Michael Adams,1955-01-25,4,Own,18743,12
vroach@gmail.com,(417)637-8815,"7358 Debra Valley
Skinnermouth, NY 50165",John Bates,1971-03-21,4,Own,74601,11
larrymorrow@johnson-chaney.net,+1-611-926-0538x54060,"06166 Maria Field Apt. 108
Myersport, TN 47150",Angela Carey,1925-08-06,4,Rent,10932,7
csullivan@lewis-wu.com,190.652.8531x120,"428 Wilson Circle Suite 023
West Jakefurt, WA 26329",Andrew Sullivan,1979-11-27,0,Rent,75776,7
qtaylor@murray.net,001-532-668-2956,"3505 Kenneth Harbor Apt. 721
South Karen, DE 80106",Philip Lopez,1937-07-01,4,Own,65447,1
tammyowens@bradford.info,001-172-227-5196,"877 Janet Street
East Kathrynborough, IA 32730",Michelle Greene,1914-12-01,3,Own,26682,12
imyers@yahoo.com,288-636-3295,"798 Campbell Key
New Betty, NY 01872",Rebekah Guerrero,1983-02-18,2,Own,593,3
obaker@martinez.biz,921.893.0022,"130 Angela Parkway
Elizabethmouth, MA 02393",Judith Gomez,1929-06-26,3,Rent,37214,10
michael38@hotmail.com,3999118033,"16219 Vaughn Forest
Smithmouth, NH 16870",Andrew Jones,1991-04-07,4,Rent,89864,11
aaronjohnson@hotmail.com,379-320-1826,"530 David Port
Samanthashire, SD 36268",Brian Reyes,1966-01-03,0,Own,95951,14
campbellvictor@gmail.com,(648)312-4727x55473,"8560 Walton Keys Apt. 451
New Melissa, UT 26134",Jane Valencia,2001-08-13,1,Own,37867,0
bruce78@garcia.org,313.613.9423x7926,"77659 Stevens Stravenue Apt. 588
Benjaminside, SC 39887",Randall Gonzalez,1955-03-08,4,Rent,85103,0
clarkjustin@roberts-simmons.com,1673929726,"250 Alejandro Trace Apt. 016
Port Gregory, WA 88990",Elizabeth Rodriguez,1970-06-09,1,Rent,81649,5
fjohnston@pacheco.com,(033)232-5951x4291,"950 Strong Row Apt. 613
Mullenhaven, KY 61574",Michelle Richards,1952-07-12,4,Rent,78504,13
josesalas@williams.biz,+1-599-416-5244x6213,"62402 Smith Hills
Feliciaborough, WV 96390",Nicole Hall,1949-10-02,2,Rent,88173,5
michaelcarroll@mcneil-sanders.biz,(810)606-9918x0682,"07373 Golden Squares Suite 799
Stephanieland, LA 93198",Raymond Madden,2021-03-21,0,Own,36355,4
obrown@hotmail.com,4678851948,"65123 Ryan Mountain Apt. 966
South Christinemouth, FL 88501",Mrs. Pamela Molina,1997-02-20,0,Rent,28901,14
pottsjoel@hotmail.com,(205)932-4381x920,"51450 John Plaza Suite 477
East Jacobtown, CO 27753",Tara Beltran,1950-11-22,1,Own,61527,3
richard31@terry.com,693-943-4778x86443,"685 Pierce Stream Apt. 625
Lake Adamhaven, KY 86945",Corey Blackburn,1913-12-17,2,Rent,595,10
gonzalezlaura@gmail.com,(449)888-4685x398,"PSC 8607, Box 3877
APO AA 76503",David Owen,1972-08-07,1,Own,19,0
summer14@porter.com,+1-160-648-0590,"646 Knight Loop
North Joshua, MD 30090",Andrew Munoz,1971-10-12,1,Rent,58088,6
vmcknight@kennedy-palmer.com,(116)793-5350x100,"344 Michael Avenue
North Shawnachester, KS 74229",Christy Johnson,1958-03-12,2,Rent,48543,0
lgoodwin@gmail.com,835.821.0270x199,"2867 Nguyen Mews Suite 478
North Michael, NC 55046",Meredith Fisher,1930-06-06,1,Own,17898,2
joshuamitchell@bradshaw.com,258.740.8384,"617 Washington Square
Leslieport, TX 53556",Alexis Pittman,1942-11-28,2,Own,6808,10
andrewcrawford@yates-simon.info,+1-842-102-1375x99314,"67936 Brian Route Apt. 606
South Richardshire, AL 35406",Brian Baker,2018-04-22,4,Rent,83104,7
williamsmark@hotmail.com,+1-468-237-4319x2663,"460 Schultz Cove
Port Roychester, FL 84017",James Knight,1975-06-30,4,Own,93393,12
qgraham@doyle.biz,001-851-554-7426x785,"5311 Parsons Viaduct Suite 414
Lake Justinland, GA 03814",Tara Schroeder,1954-05-07,2,Rent,33781,6
robin89@simmons.com,500.498.2864x5942,"07930 Shelby Squares Suite 947
Johnsonton, NE 18594",Jamie George,1973-09-08,4,Rent,73223,1
reedphillip@lopez.info,+1-752-927-2339,"788 Johnson Vista
Bryanland, OH 13204",Bill Peterson,1964-05-17,0,Own,16354,6
vwilliams@graves.info,314.930.8265x1378,"688 Steven Walk Suite 417
West Kathryn, MN 78431",Carolyn Delacruz,2002-05-27,3,Rent,39632,11
robertsonpaula@gregory.com,(129)578-7069x4803,"967 Hensley Club
East Bradleyborough, SC 12124",Deborah Cannon,2012-03-05,2,Rent,42237,7
goodmansharon@barker-murray.info,001-483-722-1811x069,"467 Cynthia Ridge Suite 784
West Larrymouth, AZ 62781",Candace Flowers,1908-10-15,0,Rent,11991,9
johnsonbradley@hotmail.com,+1-291-919-5228x648,"977 Timothy Field
Mirandamouth, AL 88192",Deborah Mckay,1954-01-09,3,Rent,61869,13
rodriguezjohnny@gmail.com,029-268-8896x200,"2420 Davis Ramp Apt. 327
Marymouth, OH 16808",Jennifer Simpson,1943-06-19,1,Own,14156,5
johnny14@yahoo.com,114-122-7675x0233,"826 Mary Parks Apt. 740
South Glenn, ID 05736",Julia Holland,2006-10-02,0,Rent,96266,9
mowens@gmail.com,(947)714-7067x9905,"PSC 0241, Box 8359
APO AE 68066",Tonya Campbell,1979-01-18,2,Own,76149,14
